Temperature (K)	Pressure (bar)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase	Curve
450.00	25.000	0.75047	1.3325	36.574	39.905	132.73	96.422	110.58	277.14	0.56481	12.729	0.041265	vapor	vapor, P = 25 bar
455.00	25.000	0.73847	1.3541	37.074	40.459	133.95	97.257	111.15	279.71	0.54482	12.849	0.042045	vapor	vapor, P = 25 bar
														
280.00	37.500	11.926	0.083850	9.3375	9.6519	46.116	70.429	110.10	886.22	-0.022234	123.22	0.10545	liquid	liquid, P = 37.5 bar
285.00	37.500	11.773	0.084939	9.8879	10.206	48.079	71.225	111.71	854.58	-0.019032	117.24	0.10299	liquid	liquid, P = 37.5 bar
290.00	37.500	11.616	0.086087	10.446	10.769	50.037	72.045	113.44	822.77	-0.015500	111.53	0.10058	liquid	liquid, P = 37.5 bar
295.00	37.500	11.454	0.087304	11.014	11.341	51.992	72.888	115.29	790.75	-0.011579	106.05	0.098200	liquid	liquid, P = 37.5 bar
300.00	37.500	11.287	0.088597	11.590	11.922	53.946	73.754	117.28	758.48	-0.0071923	100.79	0.095862	liquid	liquid, P = 37.5 bar
305.00	37.500	11.114	0.089980	12.177	12.514	55.902	74.644	119.45	725.87	-0.0022435	95.724	0.093562	liquid	liquid, P = 37.5 bar
310.00	37.500	10.933	0.091465	12.774	13.117	57.863	75.559	121.83	692.86	0.0033951	90.825	0.091296	liquid	liquid, P = 37.5 bar
315.00	37.500	10.745	0.093070	13.384	13.733	59.833	76.501	124.46	659.33	0.0098942	86.073	0.089059	liquid	liquid, P = 37.5 bar
320.00	37.500	10.546	0.094819	14.007	14.362	61.816	77.474	127.42	625.16	0.017488	81.446	0.086847	liquid	liquid, P = 37.5 bar
325.00	37.500	10.337	0.096741	14.645	15.008	63.817	78.482	130.80	590.17	0.026506	76.918	0.084653	liquid	liquid, P = 37.5 bar
330.00	37.500	10.113	0.098879	15.301	15.671	65.843	79.535	134.76	554.15	0.037433	72.462	0.082466	liquid	liquid, P = 37.5 bar
