Temperature (K)	Pressure (bar)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase	Curve
320.00	27.500	9.4879	0.10540	18.045	18.335	79.869	104.85	148.04	815.11	-0.020585	135.51	0.098078	liquid	liquid, P = 27.5 bar
325.00	27.500	9.3813	0.10659	18.787	19.080	82.179	105.95	149.91	788.91	-0.017950	129.57	0.096219	liquid	liquid, P = 27.5 bar
330.00	27.500	9.2721	0.10785	19.538	19.834	84.482	107.07	151.87	762.61	-0.015078	123.88	0.094394	liquid	liquid, P = 27.5 bar
335.00	27.500	9.1599	0.10917	20.299	20.599	86.781	108.20	153.93	736.17	-0.011931	118.41	0.092601	liquid	liquid, P = 27.5 bar
340.00	27.500	9.0445	0.11056	21.070	21.374	89.078	109.35	156.09	709.54	-0.0084613	113.14	0.090840	liquid	liquid, P = 27.5 bar
345.00	27.500	8.9255	0.11204	21.852	22.160	91.373	110.51	158.38	682.67	-0.0046097	108.05	0.089111	liquid	liquid, P = 27.5 bar
350.00	27.500	8.8025	0.11360	22.645	22.958	93.669	111.69	160.82	655.51	-0.00030021	103.12	0.087411	liquid	liquid, P = 27.5 bar
355.00	27.500	8.6749	0.11527	23.451	23.768	95.969	112.89	163.44	627.98	0.0045650	98.328	0.085740	liquid	liquid, P = 27.5 bar
360.00	27.500	8.5421	0.11707	24.271	24.593	98.274	114.11	166.28	599.99	0.010115	93.664	0.084094	liquid	liquid, P = 27.5 bar
365.00	27.500	8.4032	0.11900	25.104	25.432	100.59	115.36	169.39	571.42	0.016524	89.106	0.082471	liquid	liquid, P = 27.5 bar
370.00	27.500	8.2573	0.12110	25.954	26.287	102.92	116.65	172.85	542.15	0.024032	84.633	0.080867	liquid	liquid, P = 27.5 bar
375.00	27.500	8.1030	0.12341	26.822	27.161	105.26	117.97	176.75	511.98	0.032986	80.224	0.079276	liquid	liquid, P = 27.5 bar
380.00	27.500	7.9385	0.12597	27.709	28.056	107.63	119.34	181.28	480.67	0.043899	75.852	0.077691	liquid	liquid, P = 27.5 bar
385.00	27.500	7.7611	0.12885	28.621	28.975	110.04	120.79	186.71	447.88	0.057580	71.484	0.076103	liquid	liquid, P = 27.5 bar
390.00	27.500	7.5671	0.13215	29.562	29.925	112.49	122.33	193.49	413.12	0.075383	67.072	0.074498	liquid	liquid, P = 27.5 bar
395.00	27.500	7.3503	0.13605	30.540	30.914	115.01	124.01	202.55	375.63	0.099797	62.548	0.072856	liquid	liquid, P = 27.5 bar
400.00	27.500	7.0995	0.14085	31.570	31.958	117.63	125.92	215.96	334.08	0.13605	57.787	0.071145	liquid	liquid, P = 27.5 bar
405.00	27.500	6.7907	0.14726	32.685	33.090	120.45	128.24	239.85	285.74	0.19776	52.530	0.069323	liquid	liquid, P = 27.5 bar
405.67	27.500	6.7419	0.14833	32.845	33.253	120.85	128.60	244.78	278.42	0.20980	51.754	0.069067	liquid	liquid, P = 27.5 bar
405.67	27.500	1.4549	0.68732	41.558	43.448	145.98	131.43	242.09	147.51	2.0118	11.996	0.037880	vapor	vapor, P = 27.5 bar
410.00	27.500	1.3520	0.73967	42.382	44.416	148.35	130.53	209.78	157.43	1.7702	11.886	0.036993	vapor	vapor, P = 27.5 bar
415.00	27.500	1.2668	0.78939	43.244	45.415	150.77	130.20	191.73	166.51	1.5770	11.847	0.036715	vapor	vapor, P = 27.5 bar
420.00	27.500	1.2011	0.83260	44.056	46.346	153.00	130.29	181.44	174.11	1.4320	11.856	0.036780	vapor	vapor, P = 27.5 bar
425.00	27.500	1.1473	0.87160	44.839	47.236	155.11	130.63	174.87	180.73	1.3162	11.898	0.037029	vapor	vapor, P = 27.5 bar
