Temperature (K)	Pressure (bar)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase	Curve
485.00	25.000	0.73375	1.3629	53.889	57.296	177.90	140.02	158.40	234.70	0.66655	12.777	0.043805	vapor	vapor, P = 25 bar
490.00	25.000	0.72067	1.3876	54.620	58.089	179.52	141.00	158.84	237.48	0.64061	12.884	0.044571	vapor	vapor, P = 25 bar
495.00	25.000	0.70823	1.4120	55.355	58.884	181.14	141.98	159.33	240.17	0.61635	12.992	0.045350	vapor	vapor, P = 25 bar
500.00	25.000	0.69639	1.4360	56.092	59.682	182.74	142.96	159.86	242.79	0.59359	13.101	0.046139	vapor	vapor, P = 25 bar
505.00	25.000	0.68509	1.4597	56.834	60.483	184.33	143.95	160.44	245.34	0.57221	13.209	0.046940	vapor	vapor, P = 25 bar
510.00	25.000	0.67428	1.4831	57.579	61.287	185.92	144.93	161.04	247.82	0.55207	13.318	0.047751	vapor	vapor, P = 25 bar
515.00	25.000	0.66393	1.5062	58.328	62.094	187.49	145.91	161.68	250.24	0.53308	13.427	0.048573	vapor	vapor, P = 25 bar
520.00	25.000	0.65400	1.5291	59.081	62.904	189.06	146.90	162.34	252.61	0.51513	13.536	0.049406	vapor	vapor, P = 25 bar
525.00	25.000	0.64446	1.5517	59.838	63.717	190.61	147.88	163.02	254.92	0.49815	13.644	0.050248	vapor	vapor, P = 25 bar
530.00	25.000	0.63529	1.5741	60.599	64.534	192.16	148.85	163.72	257.17	0.48206	13.753	0.051100	vapor	vapor, P = 25 bar
535.00	25.000	0.62646	1.5963	61.364	65.354	193.70	149.83	164.43	259.39	0.46678	13.862	0.051961	vapor	vapor, P = 25 bar
540.00	25.000	0.61794	1.6183	62.133	66.178	195.24	150.80	165.16	261.55	0.45227	13.971	0.052832	vapor	vapor, P = 25 bar
